window_ms,comparison,feature,mean_a,mean_b,mean_difference_b_minus_a_occlusion,ci_lo_occlusion,ci_hi_occlusion,p_value_occlusion,effect_size,test,bootstrap_unit,q_value_bh_occlusion,is_primary_window,mean_difference_b_minus_a_ig,ci_lo_ig,ci_hi_ig,p_value_ig,q_value_bh_ig,direction_agrees,both_significant_q05
20,cross_language_real,low_frac,0.7804111916440972,0.8307221101648103,0.05031091852071312,0.024223547754707534,0.0761786010053074,0.0002532261786076707,0.5719435913889974,Mann-Whitney U + cluster bootstrap,speaker,0.0012661308930383536,True,0.0411878092131411,0.0189945653666858,0.0661265136172464,0.0096319257061651,0.0481596285308259,True,True
20,cross_language_real,mid_frac,0.14834765489106114,0.12458272498704574,-0.023764929904015394,-0.046554704966638584,-0.001325184426581632,0.11989439052971619,-0.315966956873957,Mann-Whitney U + cluster bootstrap,speaker,0.13321598947746244,True,-0.0275816658982831,-0.0482971012189918,-0.0071209057116239,0.1539499273694223,0.5131664245647413,True,False
20,cross_language_real,high_frac,0.07124115346484168,0.04469516484814376,-0.02654598861669792,-0.04193948372330022,-0.010034639656979427,4.281321928286185e-06,-0.5436577880883834,Mann-Whitney U + cluster bootstrap,speaker,4.281321928286185e-05,True,-0.0136061433148581,-0.0210223756571748,-0.0061399754170498,5.794241223429111e-07,5.794241223429111e-06,True,True
20,cross_language_real,speech_frac,0.9635305988788605,0.9473550945520401,-0.016175504326820356,-0.032043663972404074,-0.0012543363450612853,0.012133025184063928,-0.31566490045708945,Mann-Whitney U + cluster bootstrap,speaker,0.020221708640106546,True,0.0020615988969803,-0.0017231547830433,0.0060603987003169,0.9308722229958104,0.9308722229958104,False,False
20,cross_language_real,silence_frac,0.0364694084628718,0.05264490442350507,0.016175495960633272,0.0009101623511360192,0.03289277001422674,0.012133025184063928,0.31566473606848566,Mann-Whitney U + cluster bootstrap,speaker,0.020221708640106546,True,-0.0020615883048665,-0.0058690270243699,0.0019206147466882,0.9308685243056394,0.9308722229958104,False,False
20,cross_language_real,gini,0.44705940780356146,0.38950350425340297,-0.057555903550158494,-0.0940341605232018,-0.019893707448535195,0.004436594112820755,-0.450716231491462,Mann-Whitney U + cluster bootstrap,speaker,0.011091485282051887,True,-0.0046888094587225,-0.0213891768366706,0.0113743790099753,0.7740371347947012,0.9308722229958104,True,False
20,cross_language_real,entropy,15.384860277306734,15.539089251904167,0.15422897459743368,0.051188723162513654,0.24864977245826997,0.003488298571368761,0.44746065836502047,Mann-Whitney U + cluster bootstrap,speaker,0.011091485282051887,True,0.0461966377341998,-0.0782936436757259,0.1747533150932612,0.7516846029154188,0.9308722229958104,True,False
20,cross_language_real,topk_1pct,0.03723638823053277,0.034029885600727006,-0.003206502629805763,-0.007216473425003232,0.0007027888840795889,0.25639453465156925,-0.22411140278434888,Mann-Whitney U + cluster bootstrap,speaker,0.25639453465156925,True,-0.0038972772275393,-0.0175342599591736,0.0095182790002411,0.7665644247812666,0.9308722229958104,True,False
20,cross_language_real,topk_5pct,0.15343218394263017,0.13716464851689844,-0.016267535425731727,-0.0304864826513151,-0.0018832729247187034,0.06815361365573322,-0.3217658557550758,Mann-Whitney U + cluster bootstrap,speaker,0.08519201706966653,True,-0.0088787167404519,-0.0327681617623162,0.0143954340553874,0.6769726149470348,0.9308722229958104,True,False
20,cross_language_real,topk_10pct,0.2701322603064581,0.24138114938592378,-0.028751110920534312,-0.05066204945683191,-0.007228754136961096,0.033422573730036965,-0.36794152167376665,Mann-Whitney U + cluster bootstrap,speaker,0.047746533900052804,True,-0.0093124705501079,-0.033673819762624,0.0153944749076538,0.6698372665970904,0.9308722229958104,True,False
20,english_fake_minus_real,low_frac,0.7804111916440972,0.6324814063331615,-0.14792978531093554,-0.16474918594463123,-0.13138399615003327,7.55704804907942e-18,-1.7062755849910274,Wilcoxon signed-rank + pair bootstrap,pair,5.93764632407352e-17,True,-0.1200846300379116,-0.1350984043905753,-0.1056146288354542,5.269204481546392e-18,2.6346022407731966e-17,True,True
