window_ms,comparison,feature,mean_a,mean_b,mean_difference_b_minus_a,ci_lo,ci_hi,p_value,effect_size,test,bootstrap_unit,q_value_bh
50,cross_language_real,low_frac,0.7960443944625173,0.8443643268404786,0.04831993237796128,0.02290494361163629,0.07301321106259125,0.0002345894866952139,0.5780761137143817,Mann-Whitney U + cluster bootstrap,speaker,0.0011729474334760694
50,cross_language_real,mid_frac,0.1407835910559957,0.11628186651440794,-0.02450172454158775,-0.04530087258533369,-0.004885123151003242,0.0978442027337184,-0.33941597512409954,Mann-Whitney U + cluster bootstrap,speaker,0.0978442027337184
50,cross_language_real,high_frac,0.06317201448148708,0.03935380664511325,-0.023818207836373832,-0.03785676116461859,-0.009705037877003763,1.7700603974064323e-06,-0.5568537189923395,Mann-Whitney U + cluster bootstrap,speaker,1.770060397406432e-05
50,cross_language_real,speech_frac,0.9688487696647644,0.9532987999916077,-0.015549969673156694,-0.031699497366121085,-0.00010287433508699173,0.022985493475471335,-0.3065008944451097,Mann-Whitney U + cluster bootstrap,speaker,0.038309155792452226
50,cross_language_real,silence_frac,0.03115123171435698,0.04670120379465516,0.015549972080298177,0.0004892601386771376,0.03148645578570683,0.022985493475471335,0.3065009807476682,Mann-Whitney U + cluster bootstrap,speaker,0.038309155792452226
50,cross_language_real,gini,0.42311182785896745,0.3717703273959836,-0.05134150046298386,-0.08837102231940787,-0.014020983510945006,0.011088329679099004,-0.39889279059320637,Mann-Whitney U + cluster bootstrap,speaker,0.036252154842969134
50,cross_language_real,entropy,15.427019050186413,15.555736990288533,0.12871794010212056,0.030803406881387465,0.22652540497547838,0.014500861937187654,0.37263992153325604,Mann-Whitney U + cluster bootstrap,speaker,0.036252154842969134
50,cross_language_real,topk_1pct,0.02854157821489369,0.027118756654882628,-0.001422821560011063,-0.004746261391114827,0.002207869992526794,0.07116193530896825,-0.11595401546342933,Mann-Whitney U + cluster bootstrap,speaker,0.07906881700996472
50,cross_language_real,topk_5pct,0.12909513784785287,0.11886498689241104,-0.01023015095544183,-0.02196420477911737,0.0017400860821098019,0.05282048041994793,-0.23598812569622857,Mann-Whitney U + cluster bootstrap,speaker,0.0660256005249349
50,cross_language_real,topk_10pct,0.2398143080975945,0.21813870391116214,-0.021675604186432357,-0.04240794779420205,-0.0022152014220960976,0.03222323870058329,-0.2994208212844102,Mann-Whitney U + cluster bootstrap,speaker,0.04603319814369041
50,english_fake_minus_real,low_frac,0.7960443944625173,0.6386158598744206,-0.1574285345880967,-0.17304318401358074,-0.14217864789746892,5.112831740936498e-18,-1.9784622692700715,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17
50,english_fake_minus_real,mid_frac,0.1407835910559957,0.2484608971025805,0.10767730604658489,0.0955435324103936,0.11982086589064038,2.3413085997284582e-17,1.7254773596189288,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17
50,english_fake_minus_real,high_frac,0.06317201448148708,0.11292324302299889,0.04975122854151181,0.04411713085004515,0.055852135332862936,1.903450784800175e-17,1.626474865723186,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17
50,english_fake_minus_real,speech_frac,0.9688487696647644,0.9998047256469726,0.030955955982208253,0.023315267994999885,0.03991081918776035,1.781293897222056e-17,0.7227390787804856,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17
50,english_fake_minus_real,silence_frac,0.03115123171435698,0.0001952740177512169,-0.030955957696605765,-0.0397335111433149,-0.022916608665094828,1.781293897222056e-17,-0.722739224353036,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17
50,english_fake_minus_real,gini,0.42311182785896745,0.2937437664480151,-0.12936806141095236,-0.16622384476085603,-0.0937999878296041,9.756622781503912e-10,-0.7070199811515058,Wilcoxon signed-rank + pair bootstrap,pair,1.393803254500559e-09
50,english_fake_minus_real,entropy,15.427019050186413,15.724000842043916,0.29698179185750345,0.20696809566447943,0.38781854483923595,2.2936133911529331e-10,0.6637364300180852,Wilcoxon signed-rank + pair bootstrap,pair,3.822688985254889e-10
50,english_fake_minus_real,topk_1pct,0.02854157821489369,0.035476569912088605,0.006934991697194901,0.0014167198752474686,0.013407755737117584,0.20087704004784346,0.21985490789182724,Wilcoxon signed-rank + pair bootstrap,pair,0.2231967111642705
50,english_fake_minus_real,topk_5pct,0.12909513784785287,0.12912049958420183,2.5361736348957083e-05,-0.013254322349926904,0.013080472239035577,0.5359832452872442,0.00036674628279408875,Wilcoxon signed-rank + pair bootstrap,pair,0.5359832452872442
50,english_fake_minus_real,topk_10pct,0.2398143080975945,0.2212665061678232,-0.01854780192977133,-0.0388634452847137,0.0015425710952990037,0.060945996147306315,-0.1762554616214298,Wilcoxon signed-rank + pair bootstrap,pair,0.07618249518413289
50,hindi_fake_minus_real,low_frac,0.8443643268404786,0.3908116233434146,-0.4535527034970642,-0.4861431529682605,-0.4177767441240718,1.082004916926409e-17,-2.5097621440812654,Wilcoxon signed-rank + pair bootstrap,pair,4.715597213496326e-17
50,hindi_fake_minus_real,mid_frac,0.11628186651440794,0.3293490646649998,0.21306719815059186,0.19531654826337144,0.22965466119337277,1.4146791640488978e-17,2.3225132493019514,Wilcoxon signed-rank + pair bootstrap,pair,4.715597213496326e-17
50,hindi_fake_minus_real,high_frac,0.03935380664511325,0.27983931199158557,0.24048550534647234,0.22076128873771478,0.2593818506161539,4.139373908714419e-18,2.461930209032171,Wilcoxon signed-rank + pair bootstrap,pair,4.139373908714419e-17
50,hindi_fake_minus_real,speech_frac,0.9532987999916077,0.9866652202606201,0.03336642026901245,0.02282169277966023,0.043310167640447615,1.2075988066974237e-12,0.6373992068636811,Wilcoxon signed-rank + pair bootstrap,pair,2.4151976133948473e-12
50,hindi_fake_minus_real,silence_frac,0.04670120379465516,0.013334780782461166,-0.03336642301219399,-0.04325943271351934,-0.023552735615998244,1.2075988066974237e-12,-0.6373992977939713,Wilcoxon signed-rank + pair bootstrap,pair,2.4151976133948473e-12
50,hindi_fake_minus_real,gini,0.3717703273959836,0.2571191576537046,-0.114651169742279,-0.14732831964094492,-0.08405803931148206,1.7760396594324329e-09,-0.7136116130346412,Wilcoxon signed-rank + pair bootstrap,pair,2.5371995134749043e-09
50,hindi_fake_minus_real,entropy,15.555736990288533,15.784877077284845,0.22914008699630933,0.16955468500243706,0.29288310004882157,2.0177434491871465e-11,0.7131292804733936,Wilcoxon signed-rank + pair bootstrap,pair,3.362905748645244e-11
50,hindi_fake_minus_real,topk_1pct,0.027118756654882628,0.024163659999529043,-0.00295509665535359,-0.006318491163580247,0.0001913708628394643,0.10986036989791556,-0.17278090999729256,Wilcoxon signed-rank + pair bootstrap,pair,0.10986036989791556
50,hindi_fake_minus_real,topk_5pct,0.11886498689241104,0.10500739829993117,-0.013857588592479857,-0.023827963700353384,-0.0037621400896391904,0.015642897586608466,-0.2621395961746252,Wilcoxon signed-rank + pair bootstrap,pair,0.017380997318453852
50,hindi_fake_minus_real,topk_10pct,0.21813870391116214,0.1909836483402715,-0.027155055570890672,-0.04312573192316706,-0.011588402114582995,0.002316335468209835,-0.33422295624709975,Wilcoxon signed-rank + pair bootstrap,pair,0.002895419335262294
