window_ms,comparison,feature,mean_a,mean_b,mean_difference_b_minus_a,ci_lo,ci_hi,p_value,effect_size,test,bootstrap_unit,q_value_bh,is_primary_window
20,english_fake_minus_real,topk_10pct,0.2701322603064581,0.22515697159233533,-0.04497528871412275,-0.0688702522130097,-0.02160964452940343,8.616690808849393e-05,-0.3655821312889257,Wilcoxon signed-rank + pair bootstrap,pair,0.00010770863511061741,True
20,hindi_fake_minus_real,low_frac,0.8307221101648103,0.3871802030614543,-0.4435419071033564,-0.4764245304286795,-0.40634332175012067,1.1485179010089616e-17,-2.4582904049352456,Wilcoxon signed-rank + pair bootstrap,pair,5.310690665552705e-17,True
20,hindi_fake_minus_real,mid_frac,0.12458272498704574,0.33139551408074797,0.20681278909370218,0.18903861149306217,0.22384545953429688,1.5932071996658114e-17,2.2217707764676033,Wilcoxon signed-rank + pair bootstrap,pair,5.310690665552705e-17,True
20,hindi_fake_minus_real,high_frac,0.04469516484814376,0.28142428285779775,0.23672911800965404,0.21706330846340977,0.25579379746798553,4.139373908714419e-18,2.4030888625526257,Wilcoxon signed-rank + pair bootstrap,pair,4.139373908714419e-17,True
20,hindi_fake_minus_real,speech_frac,0.9473550945520401,0.9856197887659073,0.03826469421386719,0.026872648209333425,0.04900830882787704,7.665303469903222e-12,0.6790066521584028,Wilcoxon signed-rank + pair bootstrap,pair,1.0950433528433173e-11,True
20,hindi_fake_minus_real,silence_frac,0.05264490442350507,0.014380213133990764,-0.038264691289514305,-0.0494085864713561,-0.026966962763370253,7.665303469903222e-12,-0.6790066295246048,Wilcoxon signed-rank + pair bootstrap,pair,1.0950433528433173e-11,True
20,hindi_fake_minus_real,gini,0.38950350425340297,0.2396722483652469,-0.14983125588815607,-0.1823370163309232,-0.1181236781479964,1.1003587472747208e-12,-0.8994862837060433,Wilcoxon signed-rank + pair bootstrap,pair,2.2007174945494417e-12,True
20,hindi_fake_minus_real,entropy,15.539089251904167,15.798579343092609,0.25949009118844274,0.20098112776181049,0.3219945830328613,9.958027138296739e-13,0.8031571875992052,Wilcoxon signed-rank + pair bootstrap,pair,2.2007174945494417e-12,True
20,hindi_fake_minus_real,topk_1pct,0.034029885600727006,0.028361733849301865,-0.005668151751425135,-0.009924136940904242,-0.001314089620278301,0.0004191532414062229,-0.25278039998541457,Wilcoxon signed-rank + pair bootstrap,pair,0.00041915324140622283,True
20,hindi_fake_minus_real,topk_5pct,0.13716464851689844,0.10725875833906696,-0.02990589017783147,-0.0417104529228626,-0.018068955300519343,1.5338204689520703e-06,-0.5059784949211993,Wilcoxon signed-rank + pair bootstrap,pair,1.7042449655023002e-06,True
20,hindi_fake_minus_real,topk_10pct,0.24138114938592378,0.18950079646167747,-0.05188035292424626,-0.06815339046916419,-0.03418782934236818,6.60460342547236e-08,-0.5984643797928505,Wilcoxon signed-rank + pair bootstrap,pair,8.25575428184045e-08,True
50,cross_language_fake,low_frac,0.6386158598744206,0.3908116233434146,-0.24780423653100597,-0.28668347587469445,-0.206117748710521,1.2669060915642081e-21,-1.7563692048158168,Mann-Whitney U + cluster bootstrap,speaker,6.334530457821041e-21,False
50,cross_language_fake,mid_frac,0.2484608971025805,0.3293490646649998,0.08088816756241929,0.05892425242060695,0.10244363421829468,2.833786323276718e-13,1.024242288348975,Mann-Whitney U + cluster bootstrap,speaker,9.445954410922394e-13,False
50,cross_language_fake,high_frac,0.11292324302299889,0.27983931199158557,0.16691606896858668,0.1432691120609465,0.18783487739852311,2.0571379515938582e-23,2.217172848545469,Mann-Whitney U + cluster bootstrap,speaker,2.057137951593858e-22,False
50,cross_language_fake,speech_frac,0.9998047256469726,0.9866652202606201,-0.013139505386352557,-0.024987953037926683,-0.0035246820262613138,0.04664987253669902,-0.33143277342903826,Mann-Whitney U + cluster bootstrap,speaker,0.051833191707443355,False
50,cross_language_fake,silence_frac,0.0001952740177512169,0.013334780782461166,0.013139506764709949,0.003703280860311626,0.02581582653107072,0.04664987253669902,0.33143279578281143,Mann-Whitney U + cluster bootstrap,speaker,0.051833191707443355,False
50,cross_language_fake,gini,0.2937437664480151,0.2571191576537046,-0.03662460879431051,-0.07022437516087059,-0.0016020370436533688,0.05282048041994793,-0.32406001778257815,Mann-Whitney U + cluster bootstrap,speaker,0.05282048041994793,False
50,cross_language_fake,entropy,15.724000842043916,15.784877077284845,0.06087623524092933,0.006867968638640057,0.11395252901961074,0.03403642833060367,0.332274268376591,Mann-Whitney U + cluster bootstrap,speaker,0.048623469043719524,False
50,cross_language_fake,topk_1pct,0.035476569912088605,0.024163659999529043,-0.011312909912559562,-0.01868426512825604,-0.005537601448435975,7.903922805343696e-05,-0.48457516423295427,Mann-Whitney U + cluster bootstrap,speaker,0.0001975980701335924,False
50,cross_language_fake,topk_5pct,0.12912049958420183,0.10500739829993117,-0.02411310128427066,-0.03799788340909858,-0.010385242857851225,0.0009022926646460393,-0.4839671576538997,Mann-Whitney U + cluster bootstrap,speaker,0.0018045853292920785,False
50,cross_language_fake,topk_10pct,0.2212665061678232,0.1909836483402715,-0.03028285782755169,-0.04820678597403165,-0.011100230854047244,0.002558263037242641,-0.44612397147702326,Mann-Whitney U + cluster bootstrap,speaker,0.0042637717287377355,False
50,cross_language_real,low_frac,0.7960443944625173,0.8443643268404786,0.04831993237796128,0.02290494361163629,0.07301321106259125,0.0002345894866952139,0.5780761137143817,Mann-Whitney U + cluster bootstrap,speaker,0.0011729474334760694,False
50,cross_language_real,mid_frac,0.1407835910559957,0.11628186651440794,-0.02450172454158775,-0.04530087258533369,-0.004885123151003242,0.0978442027337184,-0.33941597512409954,Mann-Whitney U + cluster bootstrap,speaker,0.0978442027337184,False
50,cross_language_real,high_frac,0.06317201448148708,0.03935380664511325,-0.023818207836373832,-0.03785676116461859,-0.009705037877003763,1.7700603974064323e-06,-0.5568537189923395,Mann-Whitney U + cluster bootstrap,speaker,1.770060397406432e-05,False
50,cross_language_real,speech_frac,0.9688487696647644,0.9532987999916077,-0.015549969673156694,-0.031699497366121085,-0.00010287433508699173,0.022985493475471335,-0.3065008944451097,Mann-Whitney U + cluster bootstrap,speaker,0.038309155792452226,False
50,cross_language_real,silence_frac,0.03115123171435698,0.04670120379465516,0.015549972080298177,0.0004892601386771376,0.03148645578570683,0.022985493475471335,0.3065009807476682,Mann-Whitney U + cluster bootstrap,speaker,0.038309155792452226,False
50,cross_language_real,gini,0.42311182785896745,0.3717703273959836,-0.05134150046298386,-0.08837102231940787,-0.014020983510945006,0.011088329679099004,-0.39889279059320637,Mann-Whitney U + cluster bootstrap,speaker,0.036252154842969134,False
50,cross_language_real,entropy,15.427019050186413,15.555736990288533,0.12871794010212056,0.030803406881387465,0.22652540497547838,0.014500861937187654,0.37263992153325604,Mann-Whitney U + cluster bootstrap,speaker,0.036252154842969134,False
50,cross_language_real,topk_1pct,0.02854157821489369,0.027118756654882628,-0.001422821560011063,-0.004746261391114827,0.002207869992526794,0.07116193530896825,-0.11595401546342933,Mann-Whitney U + cluster bootstrap,speaker,0.07906881700996472,False
50,cross_language_real,topk_5pct,0.12909513784785287,0.11886498689241104,-0.01023015095544183,-0.02196420477911737,0.0017400860821098019,0.05282048041994793,-0.23598812569622857,Mann-Whitney U + cluster bootstrap,speaker,0.0660256005249349,False
50,cross_language_real,topk_10pct,0.2398143080975945,0.21813870391116214,-0.021675604186432357,-0.04240794779420205,-0.0022152014220960976,0.03222323870058329,-0.2994208212844102,Mann-Whitney U + cluster bootstrap,speaker,0.04603319814369041,False
50,english_fake_minus_real,low_frac,0.7960443944625173,0.6386158598744206,-0.1574285345880967,-0.17304318401358074,-0.14217864789746892,5.112831740936498e-18,-1.9784622692700715,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17,False
50,english_fake_minus_real,mid_frac,0.1407835910559957,0.2484608971025805,0.10767730604658489,0.0955435324103936,0.11982086589064038,2.3413085997284582e-17,1.7254773596189288,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17,False
50,english_fake_minus_real,high_frac,0.06317201448148708,0.11292324302299889,0.04975122854151181,0.04411713085004515,0.055852135332862936,1.903450784800175e-17,1.626474865723186,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17,False
50,english_fake_minus_real,speech_frac,0.9688487696647644,0.9998047256469726,0.030955955982208253,0.023315267994999885,0.03991081918776035,1.781293897222056e-17,0.7227390787804856,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17,False
50,english_fake_minus_real,silence_frac,0.03115123171435698,0.0001952740177512169,-0.030955957696605765,-0.0397335111433149,-0.022916608665094828,1.781293897222056e-17,-0.722739224353036,Wilcoxon signed-rank + pair bootstrap,pair,4.682617199456916e-17,False
50,english_fake_minus_real,gini,0.42311182785896745,0.2937437664480151,-0.12936806141095236,-0.16622384476085603,-0.0937999878296041,9.756622781503912e-10,-0.7070199811515058,Wilcoxon signed-rank + pair bootstrap,pair,1.393803254500559e-09,False
50,english_fake_minus_real,entropy,15.427019050186413,15.724000842043916,0.29698179185750345,0.20696809566447943,0.38781854483923595,2.2936133911529331e-10,0.6637364300180852,Wilcoxon signed-rank + pair bootstrap,pair,3.822688985254889e-10,False
50,english_fake_minus_real,topk_1pct,0.02854157821489369,0.035476569912088605,0.006934991697194901,0.0014167198752474686,0.013407755737117584,0.20087704004784346,0.21985490789182724,Wilcoxon signed-rank + pair bootstrap,pair,0.2231967111642705,False
50,english_fake_minus_real,topk_5pct,0.12909513784785287,0.12912049958420183,2.5361736348957083e-05,-0.013254322349926904,0.013080472239035577,0.5359832452872442,0.00036674628279408875,Wilcoxon signed-rank + pair bootstrap,pair,0.5359832452872442,False
50,english_fake_minus_real,topk_10pct,0.2398143080975945,0.2212665061678232,-0.01854780192977133,-0.0388634452847137,0.0015425710952990037,0.060945996147306315,-0.1762554616214298,Wilcoxon signed-rank + pair bootstrap,pair,0.07618249518413289,False
50,hindi_fake_minus_real,low_frac,0.8443643268404786,0.3908116233434146,-0.4535527034970642,-0.4861431529682605,-0.4177767441240718,1.082004916926409e-17,-2.5097621440812654,Wilcoxon signed-rank + pair bootstrap,pair,4.715597213496326e-17,False
50,hindi_fake_minus_real,mid_frac,0.11628186651440794,0.3293490646649998,0.21306719815059186,0.19531654826337144,0.22965466119337277,1.4146791640488978e-17,2.3225132493019514,Wilcoxon signed-rank + pair bootstrap,pair,4.715597213496326e-17,False
50,hindi_fake_minus_real,high_frac,0.03935380664511325,0.27983931199158557,0.24048550534647234,0.22076128873771478,0.2593818506161539,4.139373908714419e-18,2.461930209032171,Wilcoxon signed-rank + pair bootstrap,pair,4.139373908714419e-17,False
50,hindi_fake_minus_real,speech_frac,0.9532987999916077,0.9866652202606201,0.03336642026901245,0.02282169277966023,0.043310167640447615,1.2075988066974237e-12,0.6373992068636811,Wilcoxon signed-rank + pair bootstrap,pair,2.4151976133948473e-12,False
50,hindi_fake_minus_real,silence_frac,0.04670120379465516,0.013334780782461166,-0.03336642301219399,-0.04325943271351934,-0.023552735615998244,1.2075988066974237e-12,-0.6373992977939713,Wilcoxon signed-rank + pair bootstrap,pair,2.4151976133948473e-12,False
50,hindi_fake_minus_real,gini,0.3717703273959836,0.2571191576537046,-0.114651169742279,-0.14732831964094492,-0.08405803931148206,1.7760396594324329e-09,-0.7136116130346412,Wilcoxon signed-rank + pair bootstrap,pair,2.5371995134749043e-09,False
50,hindi_fake_minus_real,entropy,15.555736990288533,15.784877077284845,0.22914008699630933,0.16955468500243706,0.29288310004882157,2.0177434491871465e-11,0.7131292804733936,Wilcoxon signed-rank + pair bootstrap,pair,3.362905748645244e-11,False
50,hindi_fake_minus_real,topk_1pct,0.027118756654882628,0.024163659999529043,-0.00295509665535359,-0.006318491163580247,0.0001913708628394643,0.10986036989791556,-0.17278090999729256,Wilcoxon signed-rank + pair bootstrap,pair,0.10986036989791556,False
50,hindi_fake_minus_real,topk_5pct,0.11886498689241104,0.10500739829993117,-0.013857588592479857,-0.023827963700353384,-0.0037621400896391904,0.015642897586608466,-0.2621395961746252,Wilcoxon signed-rank + pair bootstrap,pair,0.017380997318453852,False
50,hindi_fake_minus_real,topk_10pct,0.21813870391116214,0.1909836483402715,-0.027155055570890672,-0.04312573192316706,-0.011588402114582995,0.002316335468209835,-0.33422295624709975,Wilcoxon signed-rank + pair bootstrap,pair,0.002895419335262294,False
100,cross_language_fake,low_frac,0.6330157514116884,0.3910694753828174,-0.24194627602887103,-0.2818803950308316,-0.20294419739485045,2.334833537774649e-21,-1.724662012722186,Mann-Whitney U + cluster bootstrap,speaker,1.1674167688873246e-20,False
100,cross_language_fake,mid_frac,0.25059606564307235,0.328923131089373,0.07832706544630064,0.05626837989750941,0.09890231714525854,6.045797903079287e-13,1.0028408533568882,Mann-Whitney U + cluster bootstrap,speaker,2.0152659676930955e-12,False
100,cross_language_fake,high_frac,0.11638818294523923,0.28000739352780973,0.1636192105825705,0.14104962603149498,0.18414429168462268,4.1882144247929716e-23,2.160524816616516,Mann-Whitney U + cluster bootstrap,speaker,4.188214424792972e-22,False
100,cross_language_fake,speech_frac,0.9998535418510437,0.987786962389946,-0.012066579461097682,-0.022449210191889474,-0.003527499304138808,0.04664987253669902,-0.3396031149473896,Mann-Whitney U + cluster bootstrap,speaker,0.04664987253669902,False
100,cross_language_fake,silence_frac,0.00014645825722254814,0.01221303567290306,0.012066577415680513,0.003339117530334438,0.022984900217386882,0.04664987253669902,0.33960308076859574,Mann-Whitney U + cluster bootstrap,speaker,0.04664987253669902,False
100,cross_language_fake,gini,0.30721321967516274,0.271058396171899,-0.03615482350326377,-0.07035125360690081,-0.003520255079093067,0.03550633752206503,-0.3143081843005221,Mann-Whitney U + cluster bootstrap,speaker,0.044382921902581286,False
100,cross_language_fake,entropy,15.709696866574047,15.76294286060165,0.053245994027601995,0.0010460452500848099,0.10914093636665956,0.03383074785101314,0.2856132145647116,Mann-Whitney U + cluster bootstrap,speaker,0.044382921902581286,False
100,cross_language_fake,topk_1pct,0.03282397981479851,0.02340611434721654,-0.00941786546758197,-0.014390574855127684,-0.004709965636375223,3.218532115022022e-05,-0.5305040004989321,Mann-Whitney U + cluster bootstrap,speaker,8.046330287555055e-05,False
100,cross_language_fake,topk_5pct,0.1351423036205576,0.10669213819939896,-0.028450165421158635,-0.04330876058806326,-0.013600318751098444,9.393081518614658e-05,-0.5434619856088883,Mann-Whitney U + cluster bootstrap,speaker,0.00018786163037229315,False
100,cross_language_fake,topk_10pct,0.23167715906930864,0.1968550724704697,-0.034822086598838925,-0.05579549718913442,-0.014657201522648959,0.0003975691120105395,-0.49410164522931627,Mann-Whitney U + cluster bootstrap,speaker,0.0006626151866842324,False
100,cross_language_real,low_frac,0.7852565772719278,0.839517512288768,0.05426093501684026,0.02984346666770302,0.07858188213913359,4.286757058890993e-05,0.6320114938301783,Mann-Whitney U + cluster bootstrap,speaker,0.00021433785294454964,False
100,cross_language_real,mid_frac,0.14731564772500255,0.1198338742885293,-0.027481773436473247,-0.047793357783927445,-0.00772988487409017,0.05876313553183144,-0.3755142018146454,Mann-Whitney U + cluster bootstrap,speaker,0.05876313553183145,False
