comparison,band,quantity,mean_a,mean_b,b_minus_a,ci_lo,ci_hi,n_a,n_b,bootstrap_unit
language_x_reconstruction_interaction,mid,proxy_frac,0.08321101133395675,0.2207046555565574,0.13749364422260066,0.11801348020071432,0.15644848080255241,100,100,speaker
english_fake_minus_real,mid,excess_frac,0.0,0.03546049585249843,0.03546049585249843,0.028876415382664784,0.04225071594558576,100,100,speaker
hindi_fake_minus_real,mid,excess_frac,0.0,0.02339837744384611,0.02339837744384611,0.016142284417645984,0.03150247097050488,100,100,speaker
language_x_reconstruction_interaction,mid,excess_frac,0.03546049585249843,0.02339837744384611,-0.012062118408652317,-0.022192970737302954,-0.0017001263087077587,100,100,speaker
english_fake_minus_real,high,energy_frac,0.0,0.01926272234897996,0.01926272234897996,0.014981322008491024,0.02410968002452579,100,100,speaker
hindi_fake_minus_real,high,energy_frac,0.0,0.20926837340867885,0.20926837340867885,0.18575028796088394,0.232724513357463,100,100,speaker
language_x_reconstruction_interaction,high,energy_frac,0.01926272234897996,0.20926837340867885,0.19000565105969888,0.1644523768950766,0.2124129645137917,100,100,speaker
english_fake_minus_real,high,proxy_frac,0.0,0.03687361870395482,0.03687361870395482,0.03186862210819945,0.041779203194078365,100,100,speaker
hindi_fake_minus_real,high,proxy_frac,0.0,0.22954615505993547,0.22954615505993547,0.20966618896902586,0.2492192518706466,100,100,speaker
language_x_reconstruction_interaction,high,proxy_frac,0.03687361870395482,0.22954615505993547,0.19267253635598064,0.17254089382500312,0.21226548585855132,100,100,speaker
english_fake_minus_real,high,excess_frac,0.0,0.01761089635497486,0.01761089635497486,0.013945916942891295,0.02168184999367373,100,100,speaker
hindi_fake_minus_real,high,excess_frac,0.0,0.020277781651256627,0.020277781651256627,0.012188749734440972,0.02901091565823948,100,100,speaker
language_x_reconstruction_interaction,high,excess_frac,0.01761089635497486,0.020277781651256627,0.0026668852962817673,-0.006542995042510196,0.012032636266229569,100,100,speaker
