utt_id,label,method,window_ms,topk_frac,comprehensiveness,sufficiency
LA_E_8855620,1,integrated_gradients,,0.1,6.201253056526184,-3.9432222843170166
LA_E_8855620,1,integrated_gradients,,0.2,8.962350845336914,-0.7942865490913391
LA_E_3453755,1,occlusion,20.0,0.05,1.7179036140441895,-1.5533453226089478
LA_E_3453755,1,occlusion,20.0,0.1,3.5576915740966797,-2.896319627761841
LA_E_3453755,1,occlusion,20.0,0.2,7.00802081823349,-1.6026989221572876
LA_E_3453755,1,occlusion,50.0,0.05,0.775270938873291,3.7059836387634277
LA_E_3453755,1,occlusion,50.0,0.1,2.166074275970459,2.0408549308776855
LA_E_3453755,1,occlusion,50.0,0.2,4.88597309589386,-0.12959954142570496
LA_E_3453755,1,occlusion,100.0,0.05,0.8763613700866699,5.6300368309021
LA_E_3453755,1,occlusion,100.0,0.1,1.4516258239746094,4.47785758972168
LA_E_3453755,1,occlusion,100.0,0.2,3.3392348289489746,2.004821300506592
LA_E_3453755,1,integrated_gradients,,0.05,1.2603893280029297,-2.2156009674072266
LA_E_3453755,1,integrated_gradients,,0.1,6.785661458969116,-2.754068613052368
LA_E_3453755,1,integrated_gradients,,0.2,8.451628923416138,-0.19425320625305176
LA_E_7867324,0,occlusion,20.0,0.05,0.008037567138671875,-4.015463829040527
LA_E_7867324,0,occlusion,20.0,0.1,0.04139566421508789,-6.114336013793945
LA_E_7867324,0,occlusion,20.0,0.2,0.0611872673034668,-6.210597038269043
LA_E_7867324,0,occlusion,50.0,0.05,0.031278133392333984,-5.863893508911133
LA_E_7867324,0,occlusion,50.0,0.1,0.019840717315673828,-6.125924110412598
LA_E_7867324,0,occlusion,50.0,0.2,0.07140254974365234,-6.018531799316406
LA_E_7867324,0,occlusion,100.0,0.05,0.053646087646484375,-1.5032291412353516
LA_E_7867324,0,occlusion,100.0,0.1,0.05179119110107422,-4.000982761383057
LA_E_7867324,0,occlusion,100.0,0.2,0.049460411071777344,-6.173555374145508
LA_E_7867324,0,integrated_gradients,,0.05,-0.028772354125976562,-5.985469818115234
LA_E_7867324,0,integrated_gradients,,0.1,-0.025127887725830078,-6.091970443725586
LA_E_7867324,0,integrated_gradients,,0.2,0.00543212890625,-6.1794352531433105
LA_E_2790723,1,occlusion,20.0,0.05,6.669890999794006,-1.3915698528289795
LA_E_2790723,1,occlusion,20.0,0.1,7.284698128700256,0.4649698734283447
LA_E_2790723,1,occlusion,20.0,0.2,5.411859691143036,5.362536907196045
LA_E_2790723,1,occlusion,50.0,0.05,5.329440951347351,-0.24059264361858368
LA_E_2790723,1,occlusion,50.0,0.1,6.02157524228096,3.634401321411133
LA_E_2790723,1,occlusion,50.0,0.2,2.0136475563049316,5.736729621887207
LA_E_2790723,1,occlusion,100.0,0.05,6.151894614100456,-0.7904187440872192
LA_E_2790723,1,occlusion,100.0,0.1,5.689046129584312,3.8443760871887207
LA_E_2790723,1,occlusion,100.0,0.2,-0.1424999237060547,6.015601634979248
LA_E_2790723,1,integrated_gradients,,0.05,6.937291860580444,5.286442756652832
LA_E_2790723,1,integrated_gradients,,0.1,5.669374018907547,5.7943010330200195
LA_E_2790723,1,integrated_gradients,,0.2,-0.1267223358154297,5.843075752258301
LA_E_7984621,1,occlusion,20.0,0.05,2.4902215003967285,-3.3530220985412598
LA_E_7984621,1,occlusion,20.0,0.1,5.14830482006073,-3.620936155319214
LA_E_7984621,1,occlusion,20.0,0.2,7.381292462348938,-3.1466660499572754
LA_E_7984621,1,occlusion,50.0,0.05,1.8855743408203125,-2.4779815673828125
LA_E_7984621,1,occlusion,50.0,0.1,4.670027852058411,-1.4004782438278198
LA_E_7984621,1,occlusion,50.0,0.2,4.555129170417786,-0.486108660697937
LA_E_7984621,1,occlusion,100.0,0.05,1.717139720916748,-1.2242854833602905
LA_E_7984621,1,occlusion,100.0,0.1,3.572627067565918,-1.4526792764663696
LA_E_7984621,1,occlusion,100.0,0.2,5.316699147224426,-0.488431453704834
LA_E_7984621,1,integrated_gradients,,0.05,2.783662796020508,-4.1294684410095215
LA_E_7984621,1,integrated_gradients,,0.1,6.575477331876755,-2.7115461826324463
LA_E_7984621,1,integrated_gradients,,0.2,7.484347820281982,1.887258529663086
LA_E_4607629,1,occlusion,20.0,0.05,1.5799717903137207,-1.4206717014312744
LA_E_4607629,1,occlusion,20.0,0.1,2.5961742401123047,-1.571532964706421
LA_E_4607629,1,occlusion,20.0,0.2,5.667105108499527,0.1736426055431366
LA_E_4607629,1,occlusion,50.0,0.05,0.9536857604980469,-0.723377525806427
LA_E_4607629,1,occlusion,50.0,0.1,1.9595026969909668,-0.4940287470817566
LA_E_4607629,1,occlusion,50.0,0.2,3.5070972442626953,2.568147659301758
LA_E_4607629,1,occlusion,100.0,0.05,0.8490276336669922,0.31953826546669006
LA_E_4607629,1,occlusion,100.0,0.1,1.022294521331787,4.794515132904053
LA_E_4607629,1,occlusion,100.0,0.2,3.652700662612915,3.145972967147827
LA_E_4607629,1,integrated_gradients,,0.05,1.286367416381836,-0.6245664358139038
LA_E_4607629,1,integrated_gradients,,0.1,5.437413692474365,4.117694854736328
LA_E_4607629,1,integrated_gradients,,0.2,6.6073771715164185,5.094947814941406
LA_E_6378612,1,occlusion,20.0,0.05,1.5081076622009277,-1.41599440574646
LA_E_6378612,1,occlusion,20.0,0.1,3.0172338485717773,-1.1096837520599365
LA_E_6378612,1,occlusion,20.0,0.2,5.7189861536026,-0.9932727813720703
LA_E_6378612,1,occlusion,50.0,0.05,1.2041568756103516,-1.3153058290481567
LA_E_6378612,1,occlusion,50.0,0.1,3.625100612640381,-1.2353761196136475
LA_E_6378612,1,occlusion,50.0,0.2,5.055249214172363,-0.37008094787597656
LA_E_6378612,1,occlusion,100.0,0.05,1.2693557739257812,-1.012803077697754
LA_E_6378612,1,occlusion,100.0,0.1,1.5866923332214355,1.9945474863052368
LA_E_6378612,1,occlusion,100.0,0.2,3.3869171142578125,1.7826132774353027
LA_E_6378612,1,integrated_gradients,,0.05,4.013784408569336,-3.885917901992798
LA_E_6378612,1,integrated_gradients,,0.1,8.483409404754639,-2.503465175628662
LA_E_6378612,1,integrated_gradients,,0.2,7.832277774810791,5.421371936798096
LA_E_4902696,1,occlusion,20.0,0.05,5.269035279750824,-3.9522783756256104
LA_E_4902696,1,occlusion,20.0,0.1,6.9551286697387695,-3.7736120223999023
LA_E_4902696,1,occlusion,20.0,0.2,7.6868239641189575,1.418207049369812
LA_E_4902696,1,occlusion,50.0,0.05,5.186238169670105,-2.1873550415039062
LA_E_4902696,1,occlusion,50.0,0.1,6.2313971519470215,-1.629357099533081
LA_E_4902696,1,occlusion,50.0,0.2,7.173558354377747,-0.016939271241426468
LA_E_4902696,1,occlusion,100.0,0.05,4.83531653881073,-3.507204294204712
LA_E_4902696,1,occlusion,100.0,0.1,6.176927179098129,-1.350944995880127
LA_E_4902696,1,occlusion,100.0,0.2,4.399489164352417,4.708331108093262
LA_E_4902696,1,integrated_gradients,,0.05,3.200953483581543,-1.442617416381836
LA_E_4902696,1,integrated_gradients,,0.1,6.493945777416229,-0.956464946269989
LA_E_4902696,1,integrated_gradients,,0.2,7.219772458076477,3.62493896484375
LA_E_3885033,1,occlusion,20.0,0.05,3.6281707286834717,-1.546319842338562
LA_E_3885033,1,occlusion,20.0,0.1,5.530631899833679,-4.237629413604736
LA_E_3885033,1,occlusion,20.0,0.2,7.09661328792572,-1.9743739366531372
LA_E_3885033,1,occlusion,50.0,0.05,2.1600232124328613,-1.5118892192840576
LA_E_3885033,1,occlusion,50.0,0.1,3.5559959411621094,-1.84125554561615
LA_E_3885033,1,occlusion,50.0,0.2,6.834409713745117,-1.1949737071990967
LA_E_3885033,1,occlusion,100.0,0.05,2.170884609222412,-1.3478208780288696
LA_E_3885033,1,occlusion,100.0,0.1,4.213205695152283,-2.1176493167877197
LA_E_3885033,1,occlusion,100.0,0.2,5.471846044063568,0.06206129118800163
LA_E_3885033,1,integrated_gradients,,0.05,5.608469575643539,-1.1722979545593262
LA_E_3885033,1,integrated_gradients,,0.1,8.52667236328125,-0.39425623416900635
LA_E_3885033,1,integrated_gradients,,0.2,9.832782745361328,1.0595442056655884
LA_E_5303383,0,occlusion,20.0,0.05,-1.567915916442871,-3.306942939758301
LA_E_5303383,0,occlusion,20.0,0.1,-2.189650535583496,-5.824811935424805
