english_row,hindi_row,distance,english_pair_id,hindi_pair_id
240,1026,1.2633520027524887,240,1026
243,545,1.4027979817774623,243,545
246,29,0.11765205857183184,246,29
250,325,0.9642291646940495,250,325
251,1120,0.9747468344949386,251,1120
252,391,1.1639000257365186,252,391
253,374,0.7795699025352729,253,374
255,959,1.434605596075058,255,959
257,785,1.4611692528904272,257,785
258,185,1.411242764945314,258,185
260,728,1.3666175322908474,260,728
261,587,1.1782629324991514,261,587
264,410,0.7674044437305791,264,410
267,1107,0.9334002877041535,267,1107
268,454,1.2730431080770208,268,454
269,25,0.7316406806783073,269,25
273,316,1.279869212621529,273,316
274,460,1.2272571569732091,274,460
277,1104,1.3842947185873458,277,1104
278,302,0.5630689029110628,278,302
280,37,0.9279834171742066,280,37
282,834,1.4742233074493942,282,834
283,387,0.5499222644493679,283,387
284,259,1.3603120674156797,284,259
285,917,1.297298602015435,285,917
286,991,1.4714651350278394,286,991
287,196,1.4979843923663843,287,196
289,246,1.0115566241869103,289,246
294,142,0.6051329412606732,294,142
296,821,0.4712825934491273,296,821
299,420,1.4932016068747354,299,420
300,643,0.6054712914724681,300,643
301,838,1.4693209197957033,301,838
302,1058,1.2830481712970674,302,1058
304,94,1.4567261015403008,304,94
308,660,1.456593005063145,308,660
309,162,1.008924389141104,309,162
312,425,1.188511358946773,312,425
315,7,1.0091638766672069,315,7
316,397,0.4893519098336603,316,397
318,892,1.4419195382884007,318,892
319,640,1.1168414574231422,319,640
322,1086,0.9354226938138216,322,1086
323,432,1.185899665946811,323,432
324,1071,0.8970697878718391,324,1071
325,473,1.490895704287412,325,473
326,1028,1.1980275795016633,326,1028
328,123,1.4199639247567488,328,123
331,756,0.7521553118893775,331,756
335,480,1.4973358727745103,335,480
338,134,1.0012248509317785,338,134
339,227,1.2011034723659253,339,227
340,972,1.3036324804075394,340,972
342,314,1.4058908407239483,342,314
343,896,1.4543280015178948,343,896
345,309,1.4996671976859308,345,309
347,155,1.128026597334207,347,155
348,1079,0.870721432934445,348,1079
349,23,1.4879107488832677,349,23
351,772,0.7824795295602491,351,772
352,595,1.468760857381825,352,595
353,506,1.3437344524456034,353,506
354,510,1.3542505505079385,354,510
356,446,0.8023630547670858,356,446
364,424,1.081736946086022,364,424
369,184,1.3914249291815706,369,184
377,956,1.3901366655166125,377,956
378,495,1.3254441996590718,378,495
379,898,1.4460859792921497,379,898
380,680,1.026865211901612,380,680
381,10,1.2015611577019993,381,10
383,262,1.3604181418260124,383,262
385,1056,0.9327276600943534,385,1056
390,46,1.2880724332207034,390,46
394,170,1.4964605292225919,394,170
396,1046,0.8588538590422187,396,1046
403,1013,1.469132045928787,403,1013
406,561,0.9252623599667936,406,561
408,1024,1.4430126809293808,408,1024
410,148,0.94376487031207,410,148
415,141,1.2171674560677679,415,141
418,1049,1.1278170807681989,418,1049
419,571,0.5265848056383521,419,571
421,749,1.1688722581850042,421,749
422,205,1.1317414200986886,422,205
424,243,1.4837537929372269,424,243
425,1102,1.0809378313174165,425,1102
426,716,0.6268738489268221,426,716
427,745,1.4449444050709188,427,745
429,947,0.6570306093599657,429,947
431,73,0.50149843449359,431,73
434,124,1.4230160929269524,434,124
435,458,1.4605018177258007,435,458
445,154,1.0929427551550268,445,154
447,619,1.3835189361216211,447,619
450,576,1.3403790276630991,450,576
453,1098,0.8930342905551293,453,1098
456,704,1.4961210976575154,456,704
457,864,1.1541988316562157,457,864
458,776,1.3561389366017802,458,776
459,161,1.352197195798077,459,161
462,868,0.859867365169294,462,868
463,1063,0.7568882737998822,463,1063
464,34,0.8136531870074066,464,34
466,396,1.4036051885499552,466,396
467,189,0.7749639591388752,467,189
469,604,1.1349489452904795,469,604
470,748,1.3607377536134795,470,748
472,500,0.6020749048351801,472,500
481,873,0.9388337468237696,481,873
487,1105,1.107001985659274,487,1105
488,668,1.370307151376174,488,668
493,95,1.2257188340995733,493,95
494,171,1.2849307546217972,494,171
496,111,0.936317700940207,496,111
497,907,0.7903847308272991,497,907
498,538,1.388435695015708,498,538
499,649,1.1034471309685794,499,649
504,546,1.3709140686774497,504,546
505,1065,0.703729178811283,505,1065
506,977,0.8499424366714917,506,977
507,117,1.2518493257767644,507,117
509,1032,0.7698217263932118,509,1032
510,1008,0.7622142178651402,510,1008
512,942,1.0806963720455753,512,942
515,181,1.2785106946912177,515,181
517,1034,0.8470013334865756,517,1034
527,384,1.367034000076615,527,384
532,1042,1.0922442502722802,532,1042
533,688,0.7485988269958755,533,688
534,26,1.459902108633248,534,26
537,1087,0.85379915176257,537,1087
540,582,0.9409524878325859,540,582
541,152,0.6682729522897961,541,152
545,277,1.463946465676193,545,277
546,1112,0.5847099649704315,546,1112
548,1121,0.6290168800084028,548,1121
555,1033,1.214815729520248,555,1033
557,712,0.6938477715395415,557,712
559,1025,0.750607345928416,559,1025
560,1053,0.8930689248665121,560,1053
565,828,1.4730144241935563,565,828
566,54,1.0741974291719383,566,54
568,27,1.3132685067613556,568,27
576,398,1.448409440575076,576,398
578,664,1.301402462135599,578,664
580,132,1.4540119525693254,580,132
581,143,1.386019278738321,581,143
586,1057,1.0162104270726589,586,1057
590,686,1.3782520130324014,590,686
592,672,0.37633060201700363,592,672
596,1038,0.865731947078763,596,1038
600,406,1.3978048177238125,600,406
602,1029,0.8817113957553744,602,1029
604,879,1.4906009032416858,604,879
615,5,1.1238822133695778,615,5
617,719,1.4152601687755386,617,719
618,601,0.844360869388401,618,601
619,114,1.4693096545908577,619,114
620,245,0.9896686635059401,620,245
622,1001,0.7911985670247644,622,1001
624,894,1.4652382798229746,624,894
625,973,1.4420175964493547,625,973
627,186,1.2014255331066817,627,186
629,953,1.4203094594275911,629,953
632,957,1.0509556099837611,632,957
634,296,1.0068588724196157,634,296
635,429,1.43047535416703,635,429
637,145,1.0840637913979931,637,145
639,584,1.4845746955653945,639,584
641,840,1.3494169380329855,641,840
642,606,0.977465240607198,642,606
643,803,1.4922969302270659,643,803
646,583,1.4897599741315712,646,583
647,562,1.4666135262973112,647,562
649,782,0.9676897792835774,649,782
651,372,1.1961157282389752,651,372
652,1027,0.911029706871118,652,1027
653,605,1.4767946925789146,653,605
655,752,0.6426210533986589,655,752
656,591,1.2182989325825897,656,591
657,940,0.9679594085857709,657,940
659,324,1.4304126061114548,659,324
661,1077,1.155679707946875,661,1077
669,697,1.0278358071821185,669,697
670,320,1.493340471393141,670,320
672,750,1.3029743417232518,672,750
673,665,1.2797252703339392,673,665
674,328,1.2209437650672157,674,328
676,1064,1.1680406328974862,676,1064
678,1074,1.1365984050283413,678,1074
680,650,1.224332582530464,680,650
681,335,1.202584720435434,681,335
683,627,0.924573627165368,683,627
684,927,0.2735530911183074,684,927
685,570,1.4419259564699847,685,570
686,195,1.4295553818702176,686,195
687,621,1.4836048701552447,687,621
690,696,0.45054908050437553,690,696
694,949,1.3012094702208084,694,949
703,3,1.2938526035510667,703,3
705,514,1.0653565423229165,705,514
706,790,1.159620216804124,706,790
707,30,1.3438854239791358,707,30
711,14,1.256543015809132,711,14
712,407,1.4966599309666742,712,407
713,369,0.4317430182131116,713,369
714,353,1.4542400688542843,714,353
717,1106,0.6386782043018033,717,1106
719,1016,0.9035492717372742,719,1016
720,1099,0.7444975345716801,720,1099
724,764,1.479862063982683,724,764
728,1043,0.36278778590196015,728,1043
732,741,1.3827338398052749,732,741
736,8,1.3205990189383363,736,8
739,1051,0.8250884012366887,739,1051
742,1068,1.405971454020169,742,1068
744,1075,1.2513736481007396,744,1075
747,525,1.377917131268226,747,525
748,771,1.2729935848584977,748,771
751,641,1.348054317308063,751,641
752,1083,0.73114779466446,752,1083
755,214,1.468251486992923,755,214
757,1047,0.5076631722699481,757,1047
759,456,1.3587977745600839,759,456
761,505,1.4953320214496777,761,505
