sample_key,pair_id,analysis_cluster,label,path,ig_delta,ig_comp_5,ig_suff_5,ig_comp_10,ig_suff_10,ig_comp_20,ig_suff_20
125_english_fake_0125,125,a6dfe0e31661197a82a0558dd1eeb2ce3f898d4cbfc740cf28766768e8fe5901cb2fbdcfa2b6a980993832d144a8a1865bc69af3ddafe929f660c90b23d94fb8,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0125.wav,0.3631874913057409,1.1887291967868805,-4.858417510986328,-0.768187403678894,-4.591542720794678,-0.9386159181594849,-2.1810500621795654
142_english_fake_0142,142,c42a23f67177dda1636890108c1e4bdb0a076c2e6a863ba282eff5f7753b76902fb745b9e6b9ce2ffd2f7fe5c150228e15ba0bf7a36c23a5000470a494878d53,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0142.wav,0.4097545140391965,-0.6606879234313965,-6.108312606811523,-1.0264095067977905,-6.1541032791137695,-1.3405171930789948,-6.1687211990356445
146_english_fake_0146,146,f53fbd579558bad737c60acebb98f882914859e93b5dca543a0e42fec1b50d133581e268f275656ab05ef0b606c0552fe22920a2c67ff22e44a3b162ef51f63e,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0146.wav,1.443169670940712,-1.3724265098571777,-6.146543979644775,-2.3682119846343994,-6.299533843994141,-4.399954557418823,-6.103728771209717
156_english_fake_0156,156,b15d4bf1cec79fab48b4b54ed50287b51593be2f5eece61b2e8384a25677e1c5a981559fa92dfc6b32f78906e4bc661ab51acf779451c06bd827987f0a2a6646,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0156.wav,0.6648635630461861,-2.731644406914711,-6.247402191162109,-2.460690498352051,-6.222309589385986,-2.2008787393569946,-6.084428787231445
166_english_fake_0166,166,df63f060fc8bc48ff5170190067300d14da1bcdf1088857191d40e924ec66568597c0b4093ac6b361ac07e7f88cb87a5768cdf077ffb613336bb413a78379282,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0166.wav,1.4338370846232742,-5.59784996509552,-2.424792766571045,-6.465743660926819,-2.6241681575775146,-5.813840985298157,-1.232702374458313
188_english_fake_0188,188,deb84f2071c433e699d881d69ca709979161da7ea1de4cab0046ce737b31d9fca1e9d7b5b765082ae872201fbff90905e718bacf89af718feeafbcb3f2f97f99,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0188.wav,-0.9818435138708299,0.05956315994262695,-6.086516380310059,-0.12434148788452148,-6.285148620605469,-0.14259576797485352,-6.1828508377075195
190_english_fake_0190,190,33450eb388de60fa6a9907092ae242b8df433c71557ab6b6908373c3300bd9c11890a52fa8f4ecac0a91ecb4c49edc7acb6e1287396a1f28f5b8f1fc1c66107c,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0190.wav,-0.050637406997846135,-0.35188913345336914,-0.23310931026935577,-0.06714153289794922,-0.9567523002624512,-0.061493873596191406,-0.8955383896827698
192_english_fake_0192,192,97b5754c2b7322d08cc69d621f60a6be00d50a86ef476e6a240529cb2dc06025626beddbcafff75d80ec8871a4b8cae6dd253dfa7009ee443b82423108973e01,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0192.wav,-0.002871295640525573,1.236109733581543,3.3180665969848633,1.2110018730163574,3.363312244415283,0.6777205467224121,2.6794300079345703
201_english_fake_0201,201,575dd0ea9fe293b4ce19f4526086fcaec5b306d9e3fde20eb37962b673c764936e80c3b0bbb55017e9d5043c80aa2ce6e53d909637133c7a3d9fb1ece1061a4f,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0201.wav,2.576234608222478,0.25854921340942383,-6.214911460876465,0.4300117492675781,-6.264893531799316,0.2579030990600586,-6.071007251739502
207_english_fake_0207,207,551d5ea36eb46269c7a7710255ff0cab38e68cd8360ad3d7b3c566e71573c778819d6d1161422130875f138f6caf9bf7e29c972fbf0bf5352ab63029a7dce8f7,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0207.wav,1.676561408285762,0.28336143493652344,-6.176765441894531,0.3387765884399414,-6.256258964538574,0.31779956817626953,-6.224029541015625
230_english_fake_0230,230,94796df469d4a3dc6594d9d759a97275d001a4aabd862b04e5bb10bb6d1991c349084f6e5120e28213bab509cfc1a892321b96ac5d0a50d5496385a32abcd94d,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0230.wav,1.4002499102161874,0.41454029083251953,-6.171283721923828,0.3854522705078125,-6.156764984130859,0.3665885925292969,-6.203489780426025
248_english_fake_0248,248,f39de6abfa4322db64ef4558412eb948a07d1209d7da08ce2a087b143c2976e42727d750025f9705c1dcc43044ddaf807245dee934c56958755c85e18330ee76,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0248.wav,1.9604501280194135,-0.09023380279541016,-6.112627029418945,-0.4161376953125,-6.16860818862915,-2.9543752670288086,-5.933762073516846
265_english_fake_0265,265,132b6782676f870d070f361565dd2fbdfd514c4b6f4b6f60e2e16faba81c7ba89a087c098f0b489e2fc362f23423babf2db83e5078984ab4c170951c2451a8b4,0,english_griffinlim_eval_final/fake_english_griffinlim/english_fake_0265.wav,0.7856428054172735,-2.9763439297676086,-6.008986473083496,-3.105928361415863,-6.235918998718262,-3.594557821750641,-6.2446184158325195
