sample_key,pair_id,analysis_cluster,label,path,duration_s,content_fraction,ig_delta,low_frac,mid_frac,high_frac,speech_frac,silence_frac,silence_duration_frac,gini,entropy,topk_1pct,topk_5pct,topk_10pct
330_hindi_real_0330,330,9daf98d1ee349378718aead0f9edd13b1352e0fe0e72a2d71aa458a79d9f474c8680549bf1d62115d59c13d52d97364c5672adb795ac73db59b709c92cb7870e,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0330.wav,4.176,1.0,2.564273413702515,0.8353548875851112,0.15679442305121905,0.007850689363669765,0.988716721534729,0.011283176951110363,0.27876160990712073,0.7650491690273558,14.25367263618127,0.15684598597463817,0.4173583294507902,0.5975665990377649
351_hindi_real_0351,351,f4be1316ad0e2da63cc723ae7822391bf5e9bebab20d134595b5dfaa0fcfc42a3907fb02b5ee992a496c84610d4d015a0b2f1e8240dc27a431cd55d69b1ab7e3,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0351.wav,7.02,1.0,-1.6849063066863623,0.785331021345237,0.2094654267230241,0.005203551931738896,0.9841301441192627,0.015869827941060066,0.2615479876160991,0.7631112148431498,14.227889338723815,0.1753061811262646,0.4391679163606114,0.6091606575129584
361_hindi_real_0361,361,b4dcba6c853f94a6e9abf98d501e79af3eec51ee1635fb1529bb4103e9fa495c7c937b7c4e4219bf3d414b549d2476904d15ff5feeb26b478b01bdc367f61bb2,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0361.wav,3.852,0.9540557275541797,-1.1465884278547898,0.9632507902717056,0.03651188381298355,0.00023732591531087802,0.9810566902160645,0.018943358212709427,0.5640866873065016,0.8574396504075859,13.517626729580762,0.22241754700398592,0.5489718056642446,0.748369948133465
366_hindi_real_0366,366,ae1ae84ba2341eb4c7c3fa47026ddc0b784387b58fa28c0a69f32c966e590141de3da70921c65c3477fb49575fab03213843d087f177422adb685978ca5c4b13,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0366.wav,3.996,0.9897213622291022,-0.460289403407732,0.9154291512437777,0.03674028369761727,0.047830565058605126,0.9842483997344971,0.015751557424664497,0.37386996904024766,0.8147687522791507,13.910960912549903,0.18312671398805783,0.4844265643205171,0.6746614933358694
369_hindi_real_0369,369,3f0b866ee8d4499e4c0de09d34862acbb1ea0139f53bf7f1271a8648fb35d9a3a31272a8bc7af870e3b52bf7f4cb51ae512fa07df79663eaeafa30221c0b200b,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0369.wav,3.168,0.7846439628482973,2.932252255550857,0.9153088083705494,0.07397711195578953,0.010714079673661043,1.0,0.0,0.0,0.8172089023084963,13.758031393483327,0.2322358300050416,0.5600657738617175,0.725608813704297
373_hindi_real_0373,373,1ab26689a68e6aeb9ee56daf140f5d65c19295d6b65eaef9f51f22cbd867b635758194eb9640790ea7d37a0de2bd5d0f235fb7662cc80dda56261f92c3cb4475,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0373.wav,3.816,0.945139318885449,-0.6084359857750359,0.9070416381846746,0.0894557183846433,0.003502643430681962,0.996726930141449,0.0032730798702687025,0.6354179566563467,0.9016615117125835,12.943840857855498,0.305303142269557,0.6586826621103178,0.8345620000049572
386_hindi_real_0386,386,13b72f7b7cca925bd373d5f2eab80cc1ea66148b333a85d6ca12be7e926fa2faf00dd733d0c670651eca79a91b3efeaf6918600638811c1c946b261c671a525e,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0386.wav,4.356,1.0,-0.2588549244393485,0.7657502907267126,0.2018615884343766,0.03238812083891066,0.9907621741294861,0.009237829595804214,0.4055727554179567,0.811103455629369,13.920549106317791,0.1903249442151047,0.48004018278088556,0.6648398410119107
40_hindi_real_0040,40,424c16a8450e8b742c1380d9d38d919d880a36379e8c7e09126a2a8411022bc42cbae339c1d8dfd42695fb073ca783ed5e86b8a2531d11c4491259ab1378e445,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0040.wav,5.976,1.0,-0.3565926228974896,0.9186009228643636,0.06226687281413675,0.019132204321499712,0.9998420476913452,0.0001578980009071529,0.01585139318885449,0.763937371682039,14.213949865368187,0.1771856310220639,0.44969007611530704,0.6198970821939486
401_hindi_real_0401,401,7b90778674a3659c892533d96bb0aa534879da17cd2f9cb1ae73fc3cc114dda10eba8bb6cfeddbafde910b396a60b95e64b4134430071bf2dd23b8d6a9c32785,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0401.wav,7.092,1.0,0.2572330529308766,0.8256821909923014,0.16753867292735866,0.006779136080339907,0.9928902387619019,0.0071097975596785545,0.2773993808049536,0.7921600681789185,14.079564628392584,0.16944284079048655,0.4501383610256769,0.6350079943751455
412_hindi_real_0412,412,68cb270e1215efd79204c075fb9df17b4ea024a7c09f74970ea4e506e73229238b2c3b3fc62c0f650e4fbd93cfbdd109b4442bcd5292c50b81cf80146568bf42,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0412.wav,6.588,1.0,2.481459935344501,0.9406593828248418,0.05774214975154048,0.001598467423617738,0.9972378015518188,0.002762116026133299,0.23777089783281732,0.8127114837363167,13.845940424634106,0.21890919591758148,0.5038316678588962,0.6758397455662817
413_hindi_real_0413,413,d09397973383a68b428b2de77fa5f97b990441e1d4f668eca001e162425c7928eb19441bc4e961b80af9f9414a3d1ce66d15cc8fde6c11fbb24bf65ac1eddcf0,1,hindi_griffinlim_eval_final/real_hindi/hindi_real_0413.wav,7.488,1.0,0.109214884322526,0.9061329798237872,0.08846978447365898,0.005397235702553981,0.9860798120498657,0.013920076191425323,0.11095975232198142,0.7361754390943287,14.390692094810152,0.15713960805022817,0.40780203995469655,0.5784672988532304
