sample_key,pair_id,analysis_cluster,label,path,duration_s,content_fraction,ig_delta,low_frac,mid_frac,high_frac,speech_frac,silence_frac,silence_duration_frac,gini,entropy,topk_1pct,topk_5pct,topk_10pct
108_hindi_fake_0108,108,c0fce8f25f23b41ed1321b49a5940b20f8b61130c14559d79ddf3816e5a433e06cad1469ff786911ce97ba8ea234da6b623881f3bb65339d1d3dd296e477a193,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0108.wav,4.96,1.0,5.545314553913272,0.8601645026657248,0.08285144776947749,0.056984049564797905,0.9781609177589417,0.021839087828993797,0.2153560371517028,0.7721766617980272,14.178792334517178,0.1738620431150107,0.451546575090417,0.6278193092721687
1090_hindi_fake_1090,1090,f446689d92087b875d07eaa1d98e4b7e07ec4f8651762d73d8e0ecbae21be60e60a3b7356828d24a8c9071f872f21361ca196ae017820a2908412966f0a59df2,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1090.wav,5.76,1.0,0.3892246674406969,0.4553284909875228,0.3336838398535749,0.21098766915890232,1.0,0.0,0.0,0.7068119017851255,14.5022922606652,0.16301226884796668,0.40226409373668076,0.5589194923468158
1097_hindi_fake_1097,1097,0e97e303991e6646c845049579a4bea7a25ea775f6b8b44a09e0efd0ae9661ec984c393c92d2522e3158c8b0ca206ad60fd9e136713e18c21dffd72811a88b88,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1097.wav,5.936,1.0,4.887172479781712,0.8967736227686232,0.10023190125367816,0.0029944759776986646,0.9795145988464355,0.0204852893948555,0.29325077399380806,0.7381682596091881,14.410037238298598,0.14594282144620607,0.3926003025402125,0.5671176064774855
1101_hindi_fake_1101,1101,461059307d756b80d08835b893bbee0e93e8cf237db0b4ba90a0b34adfa5ee77c44a3777d5a0c19d7a920260f7fd54fdd84661371abe9ece4b08ea2624146827,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1101.wav,7.128,1.0,0.8421888949897216,0.5275616149349069,0.3053292634371929,0.16710912162790034,1.0,0.0,0.0,0.6811944660934222,14.674232332481743,0.13322922663414008,0.359599503105529,0.5189825075815403
1116_hindi_fake_1116,1116,e6aef31fac7411f3f1b15c566dede061e3024cde1382d7ca1a860a093ad5b0b9c87aaa13c749ef9982c688d7a8d715c11aee89c2e3d541b9ba3dc73c5ec5cb85,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1116.wav,5.22,1.0,-2.231741307613518,0.672744329794704,0.19564413897435234,0.13161153123094374,1.0,0.0,0.0,0.6863217831860036,14.656704154516834,0.1315111785598281,0.36572633330775,0.5279212239238351
1124_hindi_fake_1124,1124,230d27ac6435d55a47ccc110561f23b342676f24aac1bed0eec64dd0deefc5d13f306e9df3216cfa91eb7972029e60e59586109fba46ac6dcf631a9e04b60644,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_1124.wav,7.128,1.0,0.8598851097424891,0.4909263376385605,0.3128494272542469,0.1962242351071927,1.0,0.0,0.0,0.706499874645758,14.441571746435502,0.18130526114796755,0.4121241363946037,0.5623182921597077
113_hindi_fake_0113,113,3aef16007bd29046bf29aa965433206ce23419410af7d4bc3d292635ddc31b83ce37bccb79f9f0fb3d857b77a1bba903b1dfbadc1d390b9c5b687a475c9f29a6,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0113.wav,5.94,1.0,0.0622322696080441,0.4086230687249698,0.3453761679975819,0.24600076327744835,1.0,0.0,0.0,0.7062401965805023,14.52356695303075,0.15475352685047564,0.3988648736126825,0.5578099025654948
125_hindi_fake_0125,125,35b57937a48c8fa81eaa6a6af0b8228f449a80b7228b9d97f8ba3a9963ecfdc2bd5c60372b83e4f7ca0133fbb9c4dfdbcb554dbf34c2a262de380f4d396f042a,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0125.wav,4.788,1.0,-0.4196670832900029,0.4013474225164698,0.381746534290171,0.21690604319335924,1.0,0.0,0.0,0.7600919207991428,14.146683743093057,0.2041334354141296,0.4757079196593999,0.6362390416872069
142_hindi_fake_0142,142,389842e0cd33cfb9876ef3d2f0e50eb0d9842d3a72efb647244e2cab4f456609c2fe3c3584b5307808cc70d8a9f6cbc18617ef2eadf45ed518b03c0dee8dfd87,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0142.wav,5.776,1.0,3.2559977811266068,0.8992341165054107,0.0935156889201914,0.007250194574397717,0.9867647290229797,0.013235332444310188,0.1836532507739938,0.7834180390244683,14.114776014706392,0.1761784974506918,0.4581431483836308,0.6398210305915286
146_hindi_fake_0146,146,51ac71db84d066b7c2fe1dd940f0e75602010e8a2c0a23df2b47108a43c6df09aea35278f729be243a1d02576df693c13705cc367b391889be00e5a572b08fb5,0,hindi_griffinlim_eval_final/fake_hindi_griffinlim/hindi_fake_0146.wav,7.452,1.0,0.153856845907498,0.44253657608612496,0.30836005212524153,0.24910337178863345,1.0,0.0,0.0,0.7330628873203544,14.28363249348381,0.20244603925447166,0.4589753598502655,0.6067043677224447
